Type,Host description,Bedrooms & bathrooms,Other amenities,Date,Price,cleaned price
Private room in Washington Heights,Quiet stylish room near Express Train,2 guests · 1 bedroom · 1 bed · 1 shared bath,Wifi · Air conditioning · Kitchen · Heating,Sep 23 – 30,$75 $66 / night,75
Entire guest suite in Jamaica,Beautiful Garden Apartment,2 guests · Studio · 1 bed · 1 bath,Wifi · Kitchen · Heating,Sep 24 – Oct 1,$43 $34 / night,43
Entire rental unit in Queens,"5 min from midtown, but peaceful.",3 guests · 1 bedroom · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,Aug 24 – 31,$80 $72 / night,80
Private room in Manhattan,Cozy room just 15 mins from Central Park,2 guests · 1 bedroom · 1 bed · 1 shared bath,Wifi · Air conditioning · Kitchen · Heating,Aug 13 – 20,$63 / night,63
Private room in Sunset Park,"(C) Private Bedroom, Sharing is Caring",2 guests · 1 bedroom · 1 bed · 1 shared bath,Wifi · Air conditioning · Kitchen · Heating,Sep 28 – Oct 5,$45 $41 / night,45
Entire rental unit in Brooklyn,Very comfortable you'll feel at home,2 guests · Studio · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,Sep 30 – Oct 7,$71 / night,71
Private room in Brooklyn,"Lovely Luxe Bedroom, Easy Commute",2 guests · 1 bedroom · 1 bed · 2 shared baths,Wifi · Air conditioning · Kitchen · Heating,Sep 12 – 19,$65 $58 / night,65
Private room in Queens,Master bedroom  in beautiful zen Appartment,2 guests · 1 bedroom · 1 bed · 1 shared bath,Wifi · Air conditioning · Kitchen · Heating,Sep 12 – 18,$36 / night,36
Private room in Washington Heights,Beautiful Apartment in Manhattan NYC,2 guests · 1 bedroom · 1 bed · 1 shared bath,Wifi · Air conditioning · Kitchen · Heating,Sep 27 – Oct 4,$75 $68 / night,75
Private room in Manhattan,Cute Room. Manhattan. 20 min train to Time Square!,3 guests · 1 bedroom · 2 beds · 1 shared bath,Wifi · Air conditioning · Kitchen · Heating,Aug 27 – Sep 1,$67 / night,67
Entire rental unit in Queens,Private Ground Floor Studio Apt PLUS Driveway,2 guests · 1 bedroom · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,Sep 29 – Oct 4,$71 / night,71
Private room in East Elmhurst,Private room and a bath near LGA,3 guests · 1 bedroom · 2 beds · 1 shared bath,Wifi · Air conditioning · Heating,Sep 30 – Oct 7,$50 $45 / night,50
